,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
259,Saint Francis (PA),31,16,15,.516,-5.71,-5.08,9,9,10,2,6,13,1997,1983,,698,1591,.439,219,651,.336,382,567,.674,256,967,367,205,79,392,496
260,Saint Joseph's,31,13,18,.419,0.01,2.82,7,11,10,7,3,11,1912,1999,,688,1704,.404,167,559,.299,369,600,.615,352,1099,394,205,135,387,523
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
261,Saint Louis,32,11,21,.344,-5.24,2.56,3,15,9,9,2,12,1912,2122,,652,1587,.411,172,528,.326,436,666,.655,290,979,391,170,72,443,630
262,Saint Mary's (CA),30,21,9,.700,9.49,4.05,13,5,14,4,7,5,2077,1909,,728,1582,.460,222,585,.379,399,561,.711,311,1075,457,151,68,363,525
263,Saint Peter's,34,16,18,.471,-2.76,-3.73,8,12,7,6,9,12,2081,2048,,698,1695,.412,193,563,.343,492,745,.660,353,1109,344,213,101,413,654
264,Sam Houston State,33,25,8,.758,2.91,-6.19,15,3,17,3,8,5,2435,1959,,794,1849,.429,249,762,.327,598,841,.711,432,1325,478,220,147,433,671
265,Samford,32,13,19,.406,-9.33,-5.49,6,12,8,6,5,13,2216,2301,,780,1756,.444,204,588,.347,452,661,.684,326,1015,423,235,96,414,657
266,San Diego State,34,26,8,.765,12.02,3.78,14,4,16,2,10,6,2101,1807,,756,1805,.419,178,556,.320,411,653,.629,413,1197,360,236,171,386,486
267,San Diego,31,15,16,.484,5.70,4.13,8,10,10,6,5,10,2006,1949,,690,1636,.422,192,562,.342,434,632,.687,321,1016,388,199,119,364,616
268,San Francisco,32,14,18,.438,3.64,3.38,7,11,8,8,6,10,2215,2167,,783,1735,.451,203,596,.341,446,709,.629,340,1113,443,186,79,376,647
269,San Jose State,30,2,28,.067,-15.81,2.33,0,18,2,15,0,13,1612,2086,,553,1559,.355,196,668,.293,310,475,.653,272,939,294,145,78,426,548
270,Santa Clara,32,14,18,.438,0.21,4.71,7,11,9,7,5,11,2027,2136,,711,1675,.424,222,636,.349,383,520,.737,296,956,379,180,59,339,599
271,Savannah State,30,8,22,.267,-18.03,-6.14,5,11,6,5,2,17,1683,2010,,633,1549,.409,102,400,.255,315,548,.575,312,907,277,263,71,490,588
272,Seattle,31,16,15,.516,-7.15,-5.56,7,7,11,5,5,10,1941,1922,,676,1529,.442,213,549,.388,376,571,.658,303,1050,428,166,45,416,519
273,Seton Hall,31,16,15,.516,8.19,7.81,6,12,10,5,6,10,2119,2107,,735,1745,.421,213,609,.350,436,664,.657,391,1123,384,185,127,385,595
274,Siena,31,11,20,.355,-6.77,-2.74,7,13,6,9,5,11,2164,2289,,748,1736,.431,152,458,.332,516,727,.710,395,1023,411,233,111,389,649
275,South Alabama,33,12,21,.364,-9.58,-3.16,9,11,7,8,5,13,2275,2438,,762,1813,.420,214,640,.334,537,764,.703,360,1175,353,157,121,474,586
276,South Carolina State,33,11,22,.333,-17.23,-7.33,7,9,6,6,5,16,1965,2203,,706,1846,.382,184,608,.303,369,612,.603,394,1142,360,200,101,412,579
277,South Carolina Upstate,34,23,11,.676,-1.64,-7.54,8,6,13,4,10,7,2457,2066,,895,2013,.445,274,802,.342,393,603,.652,455,1292,508,273,105,359,557
278,South Carolina,33,17,16,.515,10.97,8.66,6,12,10,6,7,10,2146,2046,,735,1819,.404,180,599,.301,496,673,.737,406,1178,437,208,133,424,634
279,South Dakota State,33,23,10,.697,3.01,-4.12,12,4,14,0,9,10,2409,2109,,812,1785,.455,258,682,.378,525,740,.709,313,1182,396,180,126,383,644
280,South Dakota,33,17,16,.515,-4.97,-3.55,9,7,8,8,9,8,2309,2312,,811,1924,.422,212,589,.360,475,650,.731,384,1169,388,184,80,372,603
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
281,South Florida,32,9,23,.281,-4.72,2.80,3,15,8,9,1,14,1970,2189,,745,1720,.433,136,448,.304,344,556,.619,343,1084,362,184,156,436,609
282,Southeast Missouri State,30,13,17,.433,-5.31,-3.81,7,9,9,5,4,12,2087,2064,,742,1686,.440,189,553,.342,414,621,.667,346,1050,378,218,132,394,598
283,Southeastern Louisiana,32,9,23,.281,-10.64,-5.80,6,12,6,6,3,17,2186,2324,,807,1760,.459,185,591,.313,387,582,.665,311,1068,389,194,112,492,590
284,Southern California,32,12,20,.375,2.42,6.42,3,15,8,9,4,11,2143,2271,,787,1863,.422,170,516,.329,399,629,.634,366,1149,397,208,133,446,565
285,SIU Edwardsville,28,12,16,.429,-7.47,-4.74,8,8,11,3,1,13,1909,1884,,660,1532,.431,198,521,.380,391,579,.675,292,969,345,178,120,375,518
286,Southern Illinois,33,12,21,.364,-3.65,-0.77,4,14,8,9,4,12,1968,2044,,681,1626,.419,138,418,.330,468,667,.702,327,1027,274,221,72,423,605
287,Southern Methodist,33,27,6,.818,13.24,3.55,15,3,17,2,10,4,2291,1972,,812,1695,.479,138,384,.359,529,750,.705,378,1211,512,226,142,417,537
288,Southern Mississippi,29,9,20,.310,-9.91,0.05,4,14,8,7,1,13,1742,1978,,618,1438,.430,183,554,.330,323,515,.627,248,863,352,178,63,408,449
289,Southern Utah,29,10,19,.345,-11.99,-5.49,7,11,5,7,5,12,2011,2146,,700,1537,.455,210,537,.391,401,599,.669,218,920,344,144,108,393,651
290,Southern,35,18,17,.514,-9.74,-8.02,13,5,9,5,9,12,2259,2226,,801,1895,.423,150,484,.310,507,775,.654,405,1262,359,240,145,462,702
291,St. Bonaventure,31,18,13,.581,4.15,1.57,10,8,8,6,10,7,2085,2005,,733,1723,.425,158,503,.314,461,653,.706,384,1153,383,206,149,384,535
292,St. Francis (NY),34,23,11,.676,-2.01,-6.50,15,3,13,4,10,7,2344,2178,,808,1940,.416,190,645,.295,538,791,.680,507,1326,418,227,171,447,619
293,St. John's (NY),32,21,11,.656,12.49,9.20,10,8,16,3,5,8,2279,2164,,808,1831,.441,195,552,.353,468,676,.692,329,1132,402,239,208,342,566
294,Stanford,32,19,13,.594,12.12,7.40,9,9,14,4,5,9,2314,2163,,790,1821,.434,218,569,.383,516,711,.726,373,1171,388,175,86,343,615
295,Stephen F. Austin,33,29,4,.879,8.70,-4.76,17,1,15,1,14,3,2622,2131,,894,1819,.491,257,666,.386,577,786,.734,402,1147,587,252,119,464,716
296,Stetson,31,9,22,.290,-15.87,-6.34,3,11,7,7,2,15,2064,2290,,744,1718,.433,193,586,.329,383,583,.657,297,1041,388,139,103,384,543
297,Stony Brook,34,23,11,.676,0.30,-3.89,12,4,13,2,10,9,2220,2030,,810,1931,.419,182,551,.330,418,628,.666,469,1352,409,173,142,406,562
298,Syracuse,31,18,13,.581,12.12,7.90,9,9,13,5,5,8,2096,1965,,763,1775,.430,155,515,.301,415,629,.660,373,1135,468,258,157,370,471
299,Temple,33,23,10,.697,7.74,3.53,13,5,13,2,10,8,2139,2000,,733,1910,.384,211,695,.304,462,673,.686,408,1251,406,231,142,328,573
300,Tennessee-Martin,30,18,12,.600,-3.27,-4.45,10,6,9,3,9,9,2090,1948,,747,1597,.468,221,577,.383,375,537,.698,289,1021,380,152,58,346,462
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
301,Tennessee State,31,5,26,.161,-15.04,-2.49,2,14,5,8,0,18,1793,2111,,611,1548,.395,170,486,.350,401,648,.619,297,1022,294,167,108,446,628
302,Tennessee Tech,30,12,18,.400,-6.56,-4.06,4,12,10,4,2,14,2118,2095,,768,1741,.441,169,526,.321,413,609,.678,396,1110,395,186,103,412,567
303,Tennessee,32,16,16,.500,7.54,8.48,7,11,10,8,6,8,2025,2055,,725,1706,.425,194,586,.331,381,551,.691,396,1040,350,247,108,387,625
