,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
341,Western Michigan,33,20,13,.606,1.64,0.64,10,8,13,2,7,11,2344,2268,,802,1747,.459,230,625,.368,510,728,.701,329,1075,416,212,74,391,604
342,Wichita State,32,28,4,.875,15.16,2.35,17,1,15,0,13,4,2231,1786,,784,1756,.446,224,619,.362,439,638,.688,380,1138,445,225,122,301,533
343,William &amp; Mary,32,20,12,.625,3.03,-1.18,12,6,12,2,8,10,2347,2138,,812,1661,.489,282,704,.401,441,601,.734,231,1029,476,196,135,371,499
344,Winthrop,32,19,13,.594,-3.94,-7.43,12,6,11,3,8,10,2356,2159,,812,1810,.449,251,701,.358,481,664,.724,332,1127,388,224,140,387,574
345,Wisconsin,34,31,3,.912,24.99,9.23,16,2,15,1,16,2,2444,1908,,860,1793,.480,237,663,.357,487,638,.763,322,1145,432,154,119,252,409
346,Wofford,34,28,6,.824,2.39,-3.42,16,2,13,1,15,5,2278,2033,,800,1745,.458,215,572,.376,463,672,.689,310,1102,454,223,86,371,574
347,Wright State,31,11,20,.355,-6.21,-0.94,3,13,4,8,7,12,1989,2107,,715,1619,.442,194,571,.340,365,524,.697,232,902,407,168,75,373,594
348,Wyoming,34,25,9,.735,4.38,-0.12,11,7,17,2,8,7,2097,1903,,726,1573,.462,200,620,.323,445,629,.707,212,1025,487,189,99,380,464
349,Xavier,34,21,13,.618,15.27,9.36,9,9,13,3,8,10,2501,2300,,885,1870,.473,214,613,.349,517,713,.725,340,1184,557,207,97,411,614
350,Yale,33,22,10,.688,3.73,-0.68,11,4,9,3,13,7,2164,1931,,740,1667,.444,220,595,.370,464,653,.711,360,1139,437,188,127,406,552
351,Youngstown State,32,11,21,.344,-7.41,-1.52,2,14,6,9,5,12,2287,2394,,807,1826,.442,208,588,.354,465,670,.694,314,1055,450,192,67,374,586
